match_id,year,round,round_name,date,venue,venue_state,venue_lat,venue_lon,hteam,ateam,hscore,ascore,winner,margin,is_final,is_grand_final
9012,2010,20,Round 20,2010-08-13,M.C.G.,VIC,-37.82,144.9834,Essendon,Collingwood,64,162,Collingwood,98,0,0
9014,2010,20,Round 20,2010-08-14,Subiaco,WA,-31.9442,115.8262,Fremantle,Sydney,87,96,Sydney,9,0,0
9013,2010,20,Round 20,2010-08-14,M.C.G.,VIC,-37.82,144.9834,Carlton,Richmond,156,67,Carlton,89,0,0
9016,2010,20,Round 20,2010-08-14,Football Park,SA,-34.8617,138.5564,Port Adelaide,West Coast,61,60,Port Adelaide,1,0,0
9015,2010,20,Round 20,2010-08-14,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Geelong,60,161,Geelong,101,0,0
9017,2010,20,Round 20,2010-08-15,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Adelaide,97,104,Adelaide,7,0,0
9018,2010,20,Round 20,2010-08-15,M.C.G.,VIC,-37.82,144.9834,Hawthorn,Melbourne,99,78,Hawthorn,21,0,0
9019,2010,20,Round 20,2010-08-15,Docklands,VIC,-37.8166,144.9474,North Melbourne,St Kilda,63,115,St Kilda,52,0,0
9020,2010,21,Round 21,2010-08-20,Docklands,VIC,-37.8166,144.9474,Geelong,Carlton,121,79,Geelong,42,0,0
9021,2010,21,Round 21,2010-08-21,York Park,TAS,-41.4257,147.138,Hawthorn,Fremantle,155,39,Hawthorn,116,0,0
9022,2010,21,Round 21,2010-08-21,Docklands,VIC,-37.8166,144.9474,St Kilda,Richmond,115,94,St Kilda,21,0,0
9023,2010,21,Round 21,2010-08-21,M.C.G.,VIC,-37.82,144.9834,Collingwood,Adelaide,54,51,Collingwood,3,0,0
9024,2010,21,Round 21,2010-08-21,S.C.G.,NSW,-33.8917,151.2244,Sydney,Western Bulldogs,114,70,Sydney,44,0,0
9025,2010,21,Round 21,2010-08-22,Football Park,SA,-34.8617,138.5564,Port Adelaide,Melbourne,112,83,Port Adelaide,29,0,0
9026,2010,21,Round 21,2010-08-22,Docklands,VIC,-37.8166,144.9474,Essendon,Brisbane Lions,68,95,Brisbane Lions,27,0,0
9027,2010,21,Round 21,2010-08-22,Subiaco,WA,-31.9442,115.8262,West Coast,North Melbourne,94,110,North Melbourne,16,0,0
9028,2010,22,Round 22,2010-08-27,Subiaco,WA,-31.9442,115.8262,Fremantle,Carlton,93,87,Fremantle,6,0,0
9029,2010,22,Round 22,2010-08-28,Kardinia Park,VIC,-38.1581,144.3544,Geelong,West Coast,112,68,Geelong,44,0,0
9030,2010,22,Round 22,2010-08-28,M.C.G.,VIC,-37.82,144.9834,Hawthorn,Collingwood,98,95,Hawthorn,3,0,0
9031,2010,22,Round 22,2010-08-28,Football Park,SA,-34.8617,138.5564,Adelaide,St Kilda,65,37,Adelaide,28,0,0
9033,2010,22,Round 22,2010-08-28,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Sydney,68,106,Sydney,38,0,0
9032,2010,22,Round 22,2010-08-28,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Essendon,107,78,Western Bulldogs,29,0,0
9034,2010,22,Round 22,2010-08-29,Docklands,VIC,-37.8166,144.9474,Richmond,Port Adelaide,112,122,Port Adelaide,10,0,0
9035,2010,22,Round 22,2010-08-29,M.C.G.,VIC,-37.82,144.9834,Melbourne,North Melbourne,103,113,North Melbourne,10,0,0
9036,2010,23,Finals Week 1,2010-09-03,M.C.G.,VIC,-37.82,144.9834,Geelong,St Kilda,79,83,St Kilda,4,3,0
9037,2010,23,Finals Week 1,2010-09-04,Subiaco,WA,-31.9442,115.8262,Fremantle,Hawthorn,94,64,Fremantle,30,2,0
9038,2010,23,Finals Week 1,2010-09-04,M.C.G.,VIC,-37.82,144.9834,Collingwood,Western Bulldogs,124,62,Collingwood,62,3,0
9039,2010,23,Finals Week 1,2010-09-05,Stadium Australia,NSW,-33.847,151.0633,Sydney,Carlton,99,94,Sydney,5,2,0
9040,2010,24,Semi-Finals,2010-09-10,M.C.G.,VIC,-37.82,144.9834,Geelong,Fremantle,135,66,Geelong,69,4,0
9041,2010,24,Semi-Finals,2010-09-11,M.C.G.,VIC,-37.82,144.9834,Western Bulldogs,Sydney,77,72,Western Bulldogs,5,4,0
9042,2010,25,Preliminary Finals,2010-09-17,M.C.G.,VIC,-37.82,144.9834,Collingwood,Geelong,120,79,Collingwood,41,5,0
9043,2010,25,Preliminary Finals,2010-09-18,M.C.G.,VIC,-37.82,144.9834,St Kilda,Western Bulldogs,88,64,St Kilda,24,5,0
9044,2010,26,Grand Final,2010-09-25,M.C.G.,VIC,-37.82,144.9834,Collingwood,St Kilda,68,68,Draw,0,6,1
9045,2010,27,Grand Final,2010-10-02,M.C.G.,VIC,-37.82,144.9834,Collingwood,St Kilda,108,52,Collingwood,56,6,1
1059,2011,1,Round 1,2011-03-24,M.C.G.,VIC,-37.82,144.9834,Carlton,Richmond,104,84,Carlton,20,0,0
1060,2011,1,Round 1,2011-03-25,M.C.G.,VIC,-37.82,144.9834,Geelong,St Kilda,48,47,Geelong,1,0,0
1061,2011,1,Round 1,2011-03-26,Docklands,VIC,-37.8166,144.9474,Collingwood,Port Adelaide,155,80,Collingwood,75,0,0
1062,2011,1,Round 1,2011-03-26,Football Park,SA,-34.8617,138.5564,Adelaide,Hawthorn,105,85,Adelaide,20,0,0
1063,2011,1,Round 1,2011-03-26,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Fremantle,92,94,Fremantle,2,0,0
1064,2011,1,Round 1,2011-03-27,Docklands,VIC,-37.8166,144.9474,Essendon,Western Bulldogs,113,58,Essendon,55,0,0
